Artist,Position,Title,Year
Guy Mitchell,93,Heartaches By the Number,1960
Anita Bryant,94,My Little Corner Of The World,1960
Jackie Wilson,95,Doggin' Around,1960
Bobby Rydell,96,Little Bitty Girl,1960
Barret Strong,97,Money (That's What I Want),1960
Maurice Williams,98,Stay (Just a Little Bit Longer),1960
Charlie Rich,99,Lonely Weekends,1960
Larry Hall,100,Sandy,1960
Bobby Lewis,1,Tossin' and Turnin',1961
Patsy Cline,2,I Fall to Pieces,1961
The Highwaymen,3,Michael,1961
Roy Orbison,4,Crying,1961
Del Shannon,5,Runaway,1961
The Jive Five,6,My True Story,1961
Chubby Checker,7,Pony Time,1961
longs,8,Wheels - String-a,1961
Dee Clark,9,Raindrops,1961
Joe Dowell,10,Wooden Heart,1961
Lawrence Welk and His Orchestra,11,Calcutta,1961
Bobby Vee,12,Take Good Care of My Baby,1961
Roy Orbison,13,Running Scared,1961
The Shirelles,14,Dedicated to the One I Love,1961
keys,15,Last Night - The Mar,1961
The Shirelles,16,Will You Still Love Me Tomorrow,1961
Ferrante and Teicher,17,Exodus,1961
Connie Francis,18,Where the Boys Are,1961
Ray Charles,19,Hit the road Jack,1961
Sue Thompson,20,Sad Movies (Make Me Cry),1961
Doe,21,Mother In Law - Ernie K,1961
The Dovells,22,Bristol Stomp,1961
Ricky Nelson,23,Travelin' Man,1961
The Miracles,24,Shop Around,1961
Brook Benton,25,The Boll Weevil Song,1961
Gene Mcdaniels,26,A Hundred Pounds of Clay,1961
Dick and Deedee,27,The Mountain's High,1961
Marty Robbins,28,Don't Worry,1961
Floyd Cramer,29,On the Rebound,1961
Steve Lawrence,30,Portrait of My Love,1961
"Gary ""U.S."" Bonds",31,Quarter to Three,1961
Barry Mann,32,"Who Put The Bomp (In The Bomp, Bomp,Bomp)?",1961
Neil Sedaka,33,Calendar Girl,1961
Chris Kenner,34,I Like It Like That,1961
Jorgen Ingmann,35,Apache,1961
Linda Scott,36,Don't Bet Money Honey,1961
Johnny Tillotson,37,Without You,1961
Ferlin Husky,38,Wings of a Dove,1961
Elvis Presley,39,Little Sister,1961
The Marcels,40,Blue Moon,1961
Shep and The Limelites,41,Daddys Home,1961
Troy Shondell,42,This Time,1961
"Clarence ""Frog Man"" Henry",43,I don't know why but I do,1961
Kokomo,44,Asia Minor,1961
Faron Young,45,Hello Walls,1961
Dion,46,Runaround Sue,1961
Arthur Lyman,47,Yellow Bird,1961
Timi Yuro,48,Hurt,1961
Ricky Nelson,49,Hello Mary Lou (Goodbye Heart),1961
The Capris,50,There's a Moon Out Tonight,1961
Elvis Presley,51,Surrender,1961
The Paris Sisters,52,I Love How You Love Me,1961
Lee Dorsey,53,Ya Ya,1961
"Gary ""U.S."" Bonds",54,School Is Out,1961
Bob Moore,55,Mexico,1961
Ral Donner,56,You Don't Know What You've Got,1961
The Everly Brothers,57,Walk Right Back,1961
The Lettermen,58,The Way You Look Tonight,1961
Pat Boone,59,Moody River,1961
Ray Charles,60,One Mint Julep,1961
Adam Wade,61,Take Good Care Of Her,1961
Carla Thomas,62,"Gee Whiz, Look At His Eyes",1961
Ben E. King,63,Stand By Me,1961
Ben E. King,64,Spanish Harlem,1961
Ike and Tina Turner,65,It's Gonna Work Out Fine,1961
The Echoes,66,Baby Blue,1961
Buzz Clifford,67,Baby Sittin' Boogie,1961
Del Shannon,68,Hats Off to Larry,1961
Caesar and The Romans,69,Those Oldies But Goodies Remind Me of You,1961
Chubby Checker,70,The Fly,1961
Elvis Presley,71,(Marie's the Name Of) His Latest Flame,1961
Bert Kaempfert and His Orchestra,72,Wonderland By Night (Wunderland bei Nacht),1961
Tony Orlando,73,Bless You,1961
Linda Scott,74,I've Told Every Little Star,1961
Bobby Lewis,75,One Track Mind,1961
Rosie and The Originals,76,Angel Baby,1961
Curtis Lee,77,Pretty Little Angel Eyes,1961
Brook Benton,78,Think Twice,1961
Lonnie Donegan,79,Does Your Chewing Gum Lose Its Flavor (On the Bedpost Overnight),1961
Connie Francis,80,Breakin' In a Brand New Broken Heart,1961
The Shirelles,81,Mama Said,1961
Fats Domino,82,Let the Four Winds Blow,1961
Adam Wade,83,The Writing On the Wall,1961
Matt Monro,84,My Kind of Girl,1961
Paul Anka,85,"Tonight My Love, Tonight",1961
Jimmy Dean,86,Big Bad John,1961
Bobby Rydell,87,Good Time Baby,1961
Floyd Cramer,88,San Antonio Rose,1961
Bobby Vee,89,Rubber Ball,1961
Ray Peterson,90,Missing You,1961
Brenda Lee,91,Dum Dum,1961
Eddie Hodges,92,I'm Gonna Knock On Your Door,1961
Brenda Lee,93,You Can Depend On Me,1961
Chubby Checker,94,Let's Twist Again,1961
The Dave Brubeck Quartet,95,Take Five,1961
Elvis Presley,96,Are You Lonesome Tonight?,1961
Don Gibson,97,Sea of Heartbreak,1961
The Four Preps,98,More Money for You and Me (medley),1961
Bobby Darin,99,You Must Have Been a Beautiful Baby,1961
The Drifters,100,Please Stay,1961
Mr. Acker Bilk,1,Stranger On the Shore,1962
Ray Charles,2,I Can't Stop Loving You,1962
Dee Dee Sharp,3,Mashed Potato Time,1962
Bobby Vinton,4,Roses Are Red (My Love),1962
David Rose,5,The Stripper,1962
Shelley Fabares,6,Johnny Angel,1962
Little Eva,7,The Loco-Motion,1962
The Sensations,8,Let Me In,1962
Chubby Checker,9,The Twist,1962
The Shirelles,10,Soldier Boy,1962
Bruce Channel,11,Hey! Baby,1962
Dion,12,The Wanderer,1962
Gene Chandler,13,Duke of Earl,1962
Freddy Cannon,14,Palisades Park,1962
Neil Sedaka,15,Breaking Up Is Hard to Do,1962
Claude King,16,Wolverton Mountain,1962
Chubby Checker,17,Slow Twistin',1962
Johnny Tillotson,18,It Keeps Right On A-Hurtin',1962
Mary Wells,19,The One Who Really Loves You,1962
Elvis Presley,20,Good Luck Charm,1962
Kenny Ball,21,Midnight In Moscow,1962
Tommy Roe,22,Sheila,1962
Sam Cooke,23,Twistin' the Night Away,1962
The Orlons,24,The Wah Watusi,1962
Joey Dee and The Starlighters,25,Peppermint Twist,1962
Brenda Lee,26,Break It to Me Gently,1962
The Marvelettes,27,Playboy,1962
Nat King Cole,28,Ramblin' Rose,1962
Brian Hyland,29,Sealed With a Kiss,1962
Jay & The Americans,30,She Cried,1962
Connie Francis,31,Don't Break the Heart That Loves You,1962
"Gary ""U.S."" Bonds",32,Dear Lady Twist,1962
Sue Thompson,33,Norman,1962
Ketty Lester,34,Love Letters,1962
Claudine Clark,35,Party Lights,1962
The Highwaymen,36,Cotton Fields,1962
Bent Fabric,37,Alley Cat,1962
The Isley Brothers,38,Twist and Shout,1962
Richard Chamberlain,39,Theme From Dr Kildare (Three Stars Will Shine Tonight),1962
Ace Cannon,40,Tuff,1962
Clyde Mcphatter,41,Lover Please,1962
Barbara George,42,I Know (You Don't Love Me No More),1962
Rick Nelson,43,Young World,1962
The Shirelles,44,Baby It's You,1962
Pat Boone,45,Speedy Gonzales,1962
Burl Ives,46,A Little Bitty Tear,1962
The Everly Brothers,47,Crying In the Rain,1962
Emillo Pericoli,48,Al di La',1962
Ernie Maresca,49,Shout Shout (Knock Yourself Out),1962
Don & Juan,50,What's Your Name,1962
The Corsairs,51,Smoky Places,1962
Sam Cooke,52,Having a Party,1962
Booker T and The MG's,53,Green Onions,1962
Ray Charles,54,You Don't Know Me,1962
The Four Seasons,55,Sherry,1962
Joanie Sommers,56,Johnny Get Angry,1962
Elvis Presley,57,Can't Help Falling In Love,1962
Joey Dee and The Starlighters,58,Shout,1962
"Dave ""Baby"" Cortez",59,Rinky Dink,1962
Henry Mancini,60,Moon River,1962
Ray Stevens,61,Ahab the Arab,1962
Bobby Darin,62,Things,1962
Gene Pitney,63,(The Man Who Shot) Liberty Valance,1962
The Duprees,64,You Belong to Me,1962
Roy Orbison,65,Dream Baby (How Long Must I Dream),1962
Joe Henderson,66,Snap Your Fingers,1962
Dion,67,Lovers Who Wander,1962
Chris Montez,68,Let's Dance,1962
Johnny Crawford,69,Cindy's Birthday,1962
