annualGrammy,awardFor,awardType,category,name
4,Lollipops And Roses,Individual,"Best Solo Vocal Performance, Male",Lollipops And Roses
4,Andre Previn Plays Harold Arlen,Work,Best Jazz Performance - Soloist Or Small Group (Instrumental),André Previn
4,West Side Story,Individual,Best Jazz Performance - Large Group (Instrumental),West Side Story
4,African Waltz,Individual,Best Original Jazz Composition,African Waltz
4,Up A Lazy River,Individual,Best Performance By An Orchestra - For Dancing,Up A Lazy River
4,Breakfast At Tiffany's,Work,Best Performance By An Orchestra - For Other Than Dancing,Henry Mancini
4,Moon River,Work,Best Arrangement,Henry Mancini
4,High Flying,Individual,Best Performance By A Vocal Group,High Flying
4,Great Band With Great Voices,Individual,Best Performance By A Chorus,Great Band With Great Voices
4,Breakfast At Tiffany's,Work,Best Sound Track Album Or Recording Of Score From Motion Picture Or Television,Henry Mancini
4,West Side Story,Individual,Best Sound Track Album Or Recording Of Original Cast From Motion Picture Or Television,West Side Story
4,How To Succeed In Business Without Really Trying,Individual,Best Original Cast Show Album,How To Succeed In Business Without Really Trying
4,An Evening With Mike Nichols And Elaine May,Individual,Best Comedy Performance,An Evening With Mike Nichols And Elaine May
4,Humor In Music,Individual,Best Documentary Or Spoken Word Recording (Other Than Comedy),Humor In Music
4,Judy At Carnegie Hall,Individual,Best Engineering Contribution - Popular Recording,Judy At Carnegie Hall
4,Stan Freberg Presents The United States Of America,Individual,Best Engineering Contribution - Novelty,Stan Freberg Presents The United States Of America
4,Judy At Carnegie Hall,Individual,Best Album Cover (Other Than Classical),Judy At Carnegie Hall
4,Puccini: Madame Butterfly,Individual,Best Album Cover - Classical,Puccini: Madame Butterfly
4,Prokofiev: Peter And The Wolf,Individual,Best Recording For Children,Prokofiev: Peter And The Wolf
4,Let's Twist Again,Individual,Best Rock & Roll Recording,Let's Twist Again
4,Big Bad John,Individual,Best Country & Western Recording,Big Bad John
4,Hit The Road Jack,Individual,Best Rhythm & Blues Recording,Hit The Road Jack
4,Belafonte Folk Singers At Home And Abroad,Individual,Best Folk Recording,Belafonte Folk Singers At Home And Abroad
4,Everytime I Feel The Spirit,Individual,Best Gospel Or Other Religious Recording,Everytime I Feel The Spirit
4,Peter Nero,Individual,Best New Artist Of 1961,Peter Nero
4,Ravel: Daphnis Et Chloe,Individual,Best Classical Performance - Orchestra,Ravel: Daphnis Et Chloe
4,"Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7",Individual,Best Classical Performance - Chamber Music,"Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7"
4,Bartók: Violin Concerto No. 1,Individual,Best Classical Performance - Instrumental Soloist (With Orchestra),Bartók: Violin Concerto No. 1
4,Reverie For Spanish Guitar,Individual,Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),Reverie For Spanish Guitar
4,Puccini: Madame Butterfly,Individual,Best Opera Recording,Puccini: Madame Butterfly
4,Bach: B Minor Mass,Individual,Best Classical Performance - Choral (Other Than Opera),Bach: B Minor Mass
4,The Art Of The Prima Donna,Individual,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),The Art Of The Prima Donna
4,Almeida: Discantus,Individual,Best Contemporary Classical Composition,Almeida: Discantus
4,Ravel: Daphnis Et Chloe,Individual,Best Engineering Contribution - Classical Recording,Ravel: Daphnis Et Chloe
5,I Left My Heart In San Francisco,Work,Record Of The Year,Tony Bennett
5,The First Family,Individual,Album Of The Year (Other Than Classical),The First Family
5,Columbia Records Presents Vladimir Horowitz,Work,Album Of The Year - Classical,Vladimir Horowitz
5,What Kind Of Fool Am I,Individual,Song Of The Year,What Kind Of Fool Am I
5,A Taste Of Honey,Individual,Best Instrumental Theme,A Taste Of Honey
5,Ella Swings Brightly With Nelson Riddle,Work,"Best Solo Vocal Performance, Female",Ella Fitzgerald
5,I Left My Heart In San Francisco,Work,"Best Solo Vocal Performance, Male",Tony Bennett
5,Desafinado,Individual,Best Jazz Performance - Soloist Or Small Group (Instrumental),Desafinado
5,Adventures In Jazz,Individual,Best Jazz Performance - Large Group (Instrumental),Adventures In Jazz
5,Cast Your Fate To The Wind,Individual,Best Original Jazz Composition,Cast Your Fate To The Wind
5,Fly Me To The Moon Bossa Nova,Individual,Best Performance By An Orchestra - For Dancing,Fly Me To The Moon Bossa Nova
5,The Colorful Peter Nero,Individual,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,The Colorful Peter Nero
5,Baby Elephant Walk,Work,Best Instrumental Arrangement,Henry Mancini
5,I Left My Heart In San Francisco,Individual,Best Background Arrangement,I Left My Heart In San Francisco
5,If I Had A Hammer,Individual,Best Performance By A Vocal Group,If I Had A Hammer
5,Presenting The New Christy Minstrels,Individual,Best Performance By A Chorus,Presenting The New Christy Minstrels
5,No Strings,Individual,Best Original Cast Show Album,No Strings
5,Stravinsky: The Firebird Ballet,Individual,Best Classical Performance - Orchestra,Stravinsky: The Firebird Ballet
5,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests",Individual,Best Classical Performance - Chamber Music,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests"
5,Stravinsky: Violin Concerto In D,Individual,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Stravinsky: Violin Concerto In D
5,Columbia Records Presents Vladimir Horowitz,Work,Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),Vladimir Horowitz
5,Verdi: Aida,Work,Best Opera Recording,Georg Solti
5,Bach: St. Matthew Passion,Individual,Best Classical Performance - Choral (Other Than Opera),Bach: St. Matthew Passion
5,Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs,Individual,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs
5,Stravinsky: The Flood,Individual,Best Contemporary Composition,Stravinsky: The Flood
5,Strauss: Also Sprach Zarathustra,Individual,Best Engineered Recording - Classical,Strauss: Also Sprach Zarathustra
5,The Intimate Bach,Individual,Best Album Cover - Classical,The Intimate Bach
5,Lena...Lovely And Alive,Individual,Best Album Cover - Other Than Classical,Lena...Lovely And Alive
5,The First Family,Individual,Best Comedy Performance,The First Family
5,The Story-Teller: A Session With Charles Laughton,Individual,Best Documentary Or Spoken Word Recording (Other Than Comedy),The Story-Teller: A Session With Charles Laughton
5,Hatari,Individual,Best Engineering Contribution - Other Than Novelty And Other Than Classical,Hatari
5,"The Civil War, Vol. I",Individual,Best Engineering Contribution - Novelty,"The Civil War, Vol. I"
5,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra,Individual,Best Recording For Children,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra
5,Alley Cat,Individual,Best Rock & Roll Recording,Alley Cat
5,Funny Way Of Laughin',Individual,Best Country & Western Recording,Funny Way Of Laughin'
5,I Can't Stop Loving You,Individual,Best Rhythm & Blues Recording,I Can't Stop Loving You
5,If I Had A Hammer,Individual,Best Folk Recording,If I Had A Hammer
5,Great Songs Of Love And Faith,Individual,Best Gospel Or Other Religious Recording,Great Songs Of Love And Faith
5,Robert Goulet,Individual,Best New Artist Of 1962,Robert Goulet
6,Days Of Wine And Roses,Work,Record Of The Year,Henry Mancini
6,The Barbra Streisand Album,Work,Album Of The Year (Other Than Classical),Barbra Streisand
6,Britten: War Requiem,Individual,Classical Album Of The Year,Britten: War Requiem
6,Days Of Wine And Roses,Work,Song Of The Year,Henry Mancini
6,More - Theme From Mondo Cane,Individual,Best Instrumental Theme,More - Theme From Mondo Cane
6,The Barbra Streisand Album,Work,"Best Vocal Performance, Female",Barbra Streisand
6,Wives And Lovers,Individual,"Best Vocal Performance, Male",Wives And Lovers
6,Conversations With Myself,Individual,Best Instrumental Jazz Performance - Soloist Or Small Group,Conversations With Myself
6,"Encore: Woody Herman, 1963",Individual,Best Instrumental Jazz Performance - Large Group,"Encore: Woody Herman, 1963"
6,Gravy Waltz,Individual,Best Original Jazz Composition,Gravy Waltz
6,This Time By Basie! Hits Of The 50's And 60's,Individual,Best Performance By An Orchestra - For Dancing,This Time By Basie! Hits Of The 50's And 60's
6,Java,Individual,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Java
6,I Can't Stop Loving You,Individual,Best Instrumental Arrangement,I Can't Stop Loving You
6,Days Of Wine And Roses,Work,Best Background Arrangement (Behind vocalist or instrumentalist),Henry Mancini
6,Blowin' In The Wind,Individual,Best Performance By A Vocal Group,Blowin' In The Wind
6,Bach's Greatest Hits,Individual,Best Performance By A Chorus,Bach's Greatest Hits
6,Tom Jones,Individual,Best Original Score From A Motion Picture Or Television Show,Tom Jones
6,She Loves Me,Individual,Best Score From An Original Cast Show Album,She Loves Me
6,Bartók: Concerto For Orchestra,Individual,Best Classical Performance - Orchestra,Bartók: Concerto For Orchestra
6,Evening Of Elizabethan Music,Individual,Best Classical Performance - Chamber Music,Evening Of Elizabethan Music
6,Tchaikovsky: Piano Concerto No. 1 In B Flat Minor,Individual,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Tchaikovsky: Piano Concerto No. 1 In B Flat Minor
6,The Sound Of Horowitz,Work,Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),Vladimir Horowitz
6,Puccini: Madama Butterfly,Individual,Best Opera Recording,Puccini: Madama Butterfly
6,Britten: War Requiem,Individual,Best Classical Performance - Choral (Other Than Opera),Britten: War Requiem
6,Great Scenes From Gershwin's Porgy And Bess,Individual,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Great Scenes From Gershwin's Porgy And Bess
6,Britten: War Requiem,Individual,Best Classical Composition By A Contemporary Composer,Britten: War Requiem
6,Puccini: Madama Butterfly,Individual,Best Engineered Recording - Classical,Puccini: Madama Butterfly
6,Puccini: Madama Butterfly,Individual,Best Album Cover - Classical,Puccini: Madama Butterfly
6,The Barbra Streisand Album,Individual,Best Album Cover - Other Than Classical,The Barbra Streisand Album
6,"Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)",Individual,Most Promising New Classical Recording Artist,"Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)"
6,"Hello Mudduh, Hello Faddah",Individual,Best Comedy Performance,"Hello Mudduh, Hello Faddah"
6,Who's Afraid Of Virginia Woolf?,Individual,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",Who's Afraid Of Virginia Woolf?
6,Charade,Individual,Best Engineered Recording - Other Than Classical,Charade
6,"The Civil War, Vol. II",Individual,Best Engineered Recording - Special Or Novel Effects,"The Civil War, Vol. II"
6,The Ellington Era,Individual,Best Album Notes,The Ellington Era
6,Bernstein Conducts For Young People,Individual,Best Recording For Children,Bernstein Conducts For Young People
6,Deep Purple,Individual,Best Rock & Roll Recording,Deep Purple
6,Detroit City,Individual,Best Country & Western Recording,Detroit City
6,Busted,Individual,Best Rhythm & Blues Recording,Busted
6,Blowin' In The Wind,Individual,Best Folk Recording,Blowin' In The Wind
6,Dominique,Individual,Best Gospel Or Other Religious Recording (Musical),Dominique
6,Ward Swingle (The Swingle Singers),Individual,Best New Artist Of 1963,Ward Swingle (The Swingle Singers)
7,The Girl From Ipanema,Individual,Record Of The Year,The Girl From Ipanema
7,Getz/Gilberto,Individual,Album Of The Year,Getz/Gilberto
7,"Bernstein: Symphony No. 3 ""Kaddish""",Individual,Album Of The Year -- Classical,"Bernstein: Symphony No. 3 ""Kaddish"""
7,"Hello, Dolly!",Individual,Song Of The Year,"Hello, Dolly!"
7,The Pink Panther Theme,Work,Best Instrumental Composition (Other Than Jazz),Henry Mancini
7,People,Work,"Best Vocal Performance, Female",Barbra Streisand
7,"Hello, Dolly!",Individual,"Best Vocal Performance, Male","Hello, Dolly!"
7,Getz/Gilberto,Individual,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,Getz/Gilberto
7,Guitar From Ipanema,Individual,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Guitar From Ipanema
7,The Cat,Individual,Best Original Jazz Composition,The Cat
7,The Pink Panther,Work,Best Instrumental Performance - Non-Jazz,Henry Mancini
7,The Pink Panther,Work,Best Instrumental Arrangement,Henry Mancini
7,People,Individual,Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),People
7,A Hard Day's Night,Work,Best Performance By A Vocal Group,The Beatles
7,The Swingle Singers Going Baroque,Individual,Best Performance By A Chorus,The Swingle Singers Going Baroque
7,Mary Poppins,Individual,Best Original Score Written For A Motion Picture Or Television Show,Mary Poppins
7,Funny Girl,Individual,Best Score From An Original Cast Show Album,Funny Girl
7,I Started Out As A Child,Individual,Best Comedy Performance,I Started Out As A Child
7,BBC Tribute To John F. Kennedy,Individual,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",BBC Tribute To John F. Kennedy
7,Getz/Gilberto,Individual,Best Engineered Recording - Non-Classical,Getz/Gilberto
7,The Chipmunks Sing The Beatles,Individual,Best Engineered Recording - Special Or Novel Effects,The Chipmunks Sing The Beatles
7,People,Individual,Best Album Cover- Other Than Classical,People
7,Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra,Individual,Best Album Cover - Classical,Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra
7,Mary Poppins,Individual,Best Recording For Children,Mary Poppins
7,Downtown,Individual,Best Rock & Roll Recording,Downtown
7,How Glad I Am,Individual,Best Rhythm & Blues Recording,How Glad I Am
7,We'll Sing In The Sunshine,Individual,Best Folk Recording,We'll Sing In The Sunshine
7,Great Gospel Songs,Individual,Best Gospel Or Other Religious Recording (Musical),Great Gospel Songs
7,The Beatles,Work,Best New Artist Of 1964,The Beatles
7,Dang Me,Individual,Best Country & Western Single,Dang Me
7,Dang Me/Chug-A-Lug,Work,Best Country & Western Album,Roger Miller
7,Here Comes My Baby,Individual,Best Country & Western Vocal Performance - Female,Here Comes My Baby
7,Dang Me,Work,Best Country & Western Vocal Performance - Male,Roger Miller
7,Dang Me,Work,Best Country & Western Song,Roger Miller
7,,Work,Best New Country & Western Artist Of 1964,Roger Miller
7,Mexico (Legacy Collection),Individual,Best Album Notes,Mexico (Legacy Collection)
7,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts,Individual,Best Performance - Orchestra,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts
7,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1",Individual,Best Chamber Performance - Instrumental,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1"
7,It Was A Lover And His Lass,Individual,Best Chamber Music Performance - Vocal,It Was A Lover And His Lass
7,Prokofiev: Violin Concerto No. 1 In D,Individual,Best Performance - Instrumental Soloist Or Soloists (With Orchestra),Prokofiev: Violin Concerto No. 1 In D
7,"Vladimir Horowitz Plays Beethoven, Debussy, Chopin",Work,Best Performance - Instrumental Soloist Or Soloists (Without Orchestra),Vladimir Horowitz
7,Bizet: Carmen,Individual,Best Opera Recording,Bizet: Carmen
7,Britten: A Ceremony Of Carols,Individual,Best Choral Performance (Other Than Opera),Britten: A Ceremony Of Carols
7,Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo,Individual,Best Vocal Soloist Performance (With Or Without Orchestra),Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo
7,Barber: Piano Concerto,Individual,Best Composition By A Contemporary Composer,Barber: Piano Concerto
7,Britten: Young Person's Guide To The Orchestra,Individual,Best Engineered Recording,Britten: Young Person's Guide To The Orchestra
7,"The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)",Individual,Most Promising New Classical Recording Artist,"The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)"
8,A Taste Of Honey,Individual,Record Of The Year,A Taste Of Honey
8,September Of My Years,Work,Album Of The Year,Frank Sinatra
8,Horowitz At Carnegie Hall - An Historic Return,Work,Album Of The Year -- Classical,Vladimir Horowitz
8,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Individual,Song Of The Year,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"
8,My Name Is Barbra,Work,"Best Vocal Performance, Female",Barbra Streisand
8,It Was A Very Good Year,Work,"Best Vocal Performance, Male",Frank Sinatra
8,A Taste Of Honey,Individual,"Best Instrumental Performance, Non-Jazz",A Taste Of Honey
8,We Dig Mancini,Individual,Best Performance By A Vocal Group,We Dig Mancini
8,Anyone For Mozart?,Individual,Best Performance By A Chorus,Anyone For Mozart?
8,The Sandpiper,Individual,Best Original Score Written For A Motion Picture Or Television Show,The Sandpiper
8,On A Clear Day,Individual,Best Score From An Original Cast Show Album,On A Clear Day
8,Why Is There Air?,Individual,Best Comedy Performance,Why Is There Air?
8,John F. Kennedy - As We Remember Him,Individual,Best Spoken Word Or Drama Recording,John F. Kennedy - As We Remember Him
8,Tom Jones,Individual,Best New Artist,Tom Jones
8,"Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham""",Individual,Best Recording For Children,"Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham"""
8,September Of My Years,Individual,Best Album Notes,September Of My Years
8,"The ""In"" Crowd",Individual,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,"The ""In"" Crowd"
8,Ellington '66,Work,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Duke Ellington
