Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview,Winner
1999,Crazy Town,Butterfly,https://open.spotify.com/track/4BggEwLhGfrbrl7JBhC8EC,4BggEwLhGfrbrl7JBhC8EC,0.00132,0.736,216733.0,0.8109999999999999,0.00014199999999999998,9.0,0.107,-4.17,0.0,0.081,103.50200000000001,4.0,0.609,The Gift Of Game,https://i.scdn.co/image/1ed64355c2251642234fbee9bf3288e706b39b85,False,69.0,https://p.scdn.co/mp3-preview/8bab4427d8ce0fcb58daacaa20d19864554806f1?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Dir en Grey,Cage,https://open.spotify.com/track/3Pzh926pXggbMe2ZpXyMV7,3Pzh926pXggbMe2ZpXyMV7,0.0438,0.634,175493.0,0.8490000000000001,0.0,0.0,0.363,-7.075,1.0,0.105,156.004,4.0,0.919,Cage The Elephant (Expanded Edition),https://i.scdn.co/image/c664316a130cc43dd7acf1e94e560563813d4a7a,False,74.0,https://p.scdn.co/mp3-preview/bcd40a6c117e25539db0594df875e270c5ab7fca?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Red Hot Chili Peppers,Californication,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,48UPSzbZjgc449aqz8bxox,0.0021,0.5920000000000001,329733.0,0.767,0.00165,9.0,0.127,-2.7880000000000003,0.0,0.027000000000000003,96.48299999999999,4.0,0.32799999999999996,Californication (Deluxe Version),https://i.scdn.co/image/260c7a6da14bb13a4cc9e75bf5b549fb87fa22a9,False,81.0,https://p.scdn.co/mp3-preview/175ce440229d2fb5361756f3e68c9647b86a8eee?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Barenaked Ladies,Call and Answer,https://open.spotify.com/track/6OSu2pyWrhnbMva9Q2gm3r,6OSu2pyWrhnbMva9Q2gm3r,0.195,0.44299999999999995,349160.0,0.669,0.073,2.0,0.0949,-7.631,1.0,0.0275,180.195,4.0,0.341,Stunt (20th Anniversary Edition),https://i.scdn.co/image/215bc74e40a7114475c9c29ca957ac5ec52ceaad,False,38.0,https://p.scdn.co/mp3-preview/45b681358de14946814ae06b16505f7ae2e0115a?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Rage Against the Machine,Calm Like A Bomb,https://open.spotify.com/track/1hR0fIFK2qRG3f3RF70pb7,1hR0fIFK2qRG3f3RF70pb7,0.0234,0.315,298893.0,0.97,2.03e-06,7.0,0.122,-5.4239999999999995,1.0,0.483,149.749,4.0,0.37,The Battle Of Los Angeles,https://i.scdn.co/image/d36b38316f7c9f8c6e3b66305811fe5ae1517b1a,False,55.0,https://p.scdn.co/mp3-preview/81bf03bb51682b24c916a406e0a9cc9573ab0fa9?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Jamiroquai,Canned Heat,https://open.spotify.com/track/0RWqE2ZaulvnN1i40qIhDh,0RWqE2ZaulvnN1i40qIhDh,0.0136,0.7,331760.0,0.865,7.56e-05,9.0,0.0718,-5.827000000000001,0.0,0.133,128.04,4.0,0.78,Synkronized,https://i.scdn.co/image/8c158670a59b413e629903e2d014c24ee6234d92,False,63.0,https://p.scdn.co/mp3-preview/4f58fdce684783a273f2afa4b1381beb5a31bc40?cid=bca78196e824433fbdf88ec18d84825f,0
1999,The White Stripes,Cannon,https://open.spotify.com/track/1tZ4vs6PUsWvoaJcfPq2Yu,1tZ4vs6PUsWvoaJcfPq2Yu,0.47100000000000003,0.35600000000000004,150827.0,0.955,0.368,4.0,0.205,-1.811,1.0,0.0769,77.41,4.0,0.16899999999999998,The White Stripes,https://i.scdn.co/image/ba42886df7c3e953a050d847f4228d87b74fc200,False,33.0,https://p.scdn.co/mp3-preview/2b2dcdc19c7d6792455f5c169bd62920225158d5?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Anti-Flag,Captain Anarchy,https://open.spotify.com/track/1tqC8SbK0zAPOOhq0YXc5Z,1tqC8SbK0zAPOOhq0YXc5Z,0.0116,0.485,153992.0,0.992,0.0,8.0,0.433,-3.968,1.0,0.0718,142.072,4.0,0.7659999999999999,A New Kind of Army,https://i.scdn.co/image/ef2de6d0347124e0ac057f07fa622ea21117e1ca,False,31.0,https://p.scdn.co/mp3-preview/96fb266557ee1c802dfb0dc27a19d9819845c3fb?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Phil Vassar,Carlene,https://open.spotify.com/track/339hc1FygD8oJl4kg24IjG,339hc1FygD8oJl4kg24IjG,0.0784,0.5870000000000001,246240.0,0.88,0.0,4.0,0.182,-5.725,1.0,0.0324,129.222,4.0,0.778,Phil Vassar,https://i.scdn.co/image/8bd2fd40e0b6b66b8db51e5bf1d587e37c7177e3,False,49.0,https://p.scdn.co/mp3-preview/d0f9e188a0a635f4cbed86f102e1d759c9d9bc89?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Built to Spill,Carry The Zero,https://open.spotify.com/track/3HMOMdRPywfouYx5B4PvaH,3HMOMdRPywfouYx5B4PvaH,1.3500000000000001e-05,0.264,343893.0,0.812,0.10800000000000001,4.0,0.0962,-5.651,1.0,0.031,94.095,4.0,0.45799999999999996,Keep It Like A Secret,https://i.scdn.co/image/34a1228c5f0ab3b58f5376aa89a7350711a3161d,False,56.0,https://p.scdn.co/mp3-preview/87c7273f526b20ef61b13a64b453f5dd5f362ac7?cid=bca78196e824433fbdf88ec18d84825f,0
