Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1959,"Van Cliburn, piano",Rachmaninoff: Piano Concerto No. 3,https://open.spotify.com/track/6OVihE4503OPoKeeQiJe51,6OVihE4503OPoKeeQiJe51,0.989,0.23,907459.0,0.127,0.879,7.0,0.238,-22.791,0.0,0.0334,91.591,4.0,0.0818,Sergei Rachmaninoff - Piano Concerto No.3 (1958),https://i.scdn.co/image/1017da84003d952b9cfca930b7f49ac895e4b90a,False,0.0,https://p.scdn.co/mp3-preview/bb591f291ef10bd0332970aaca651167120f5bcf?cid=bca78196e824433fbdf88ec18d84825f
1959,"Erich Leinsdorf, conductor",Mozart: The Marriage Of Figaro,https://open.spotify.com/track/6PuzhjV5ziVaXH2ynUB7YA,6PuzhjV5ziVaXH2ynUB7YA,0.976,0.318,238267.0,0.182,0.821,2.0,0.105,-16.567,1.0,0.0356,153.926,4.0,0.349,Mozart - The Marriage of Figaro - Highlights,https://i.scdn.co/image/b00d26ac478b5a06ddba991e82164ab2de430333,False,11.0,https://p.scdn.co/mp3-preview/44ac44ec6a83fa432c513398634d56d51bfcf570?cid=bca78196e824433fbdf88ec18d84825f
1959,"Jussi Bjoerling, tenor",Bjoerling In Opera,,,,,,,,,,,,,,,,,,,,
1959,Various Artists,Porgy And Bess,https://open.spotify.com/track/1LG6DQ6KyVHEmCAada52g4,1LG6DQ6KyVHEmCAada52g4,0.977,0.207,149240.0,0.202,0.738,4.0,0.231,-17.652,0.0,0.0593,83.617,3.0,0.0427,The Best Of Musicals (2),https://i.scdn.co/image/2a5fc9f9e42cc8588cf2d5ba21b8c2cf34e1dd22,False,0.0,https://p.scdn.co/mp3-preview/2a0d011628cccdafe3bcfefa6d9451089d1fa9f7?cid=bca78196e824433fbdf88ec18d84825f
1959,Ethel Merman And Broadway Show Cast,Gypsy,https://open.spotify.com/track/19Ym5Sg0YyOCa6ao21bdoG,19Ym5Sg0YyOCa6ao21bdoG,0.017,0.622,264907.0,0.54,0.00771,5.0,0.265,-13.99,1.0,0.0261,130.879,4.0,0.847,Greatest Hits,https://i.scdn.co/image/5cd065db740b31a135757ac8e7edc2d2507992b8,False,69.0,https://p.scdn.co/mp3-preview/afada93be0c928ee81a5730bf75dff949502be13?cid=bca78196e824433fbdf88ec18d84825f
1959,Shelley Berman,Inside Shelley Berman,,,,,,,,,,,,,,,,,,,,
1959,Homer And Jethro,The Battle Of Kookamonga,https://open.spotify.com/track/67nroBWmL1zoCNR1QM2sc1,67nroBWmL1zoCNR1QM2sc1,0.221,0.539,158867.0,0.893,0.0,9.0,0.181,-7.808,1.0,0.212,86.485,4.0,0.672,America's Song Butchers: The Weird World Of Homer & Jethro,https://i.scdn.co/image/5d0ab3ee461f2b44fadeaa9948b074dcea373b5a,False,14.0,https://p.scdn.co/mp3-preview/3b4032ab5655e1cc5632c4e86793484fba18dd4b?cid=bca78196e824433fbdf88ec18d84825f
1959,Carl Sandburg,A Lincoln Portrait,https://open.spotify.com/track/6H8Q7dDbNr0MfrtuVOGVrX,6H8Q7dDbNr0MfrtuVOGVrX,0.962,0.231,163667.0,0.093,0.763,1.0,0.126,-17.388,1.0,0.0389,86.422,4.0,0.285,"Copland: Appalachian Spring; Lincoln Portrait; Fanfare; Rodeo, etc.",https://i.scdn.co/image/e09edf75b64ae734db510dd6355895dfd70a5b12,False,11.0,
1959,"Nat ""King"" Cole",Midnight Flyer,https://open.spotify.com/track/1m91M3jvXVmatqUWVQ52Ed,1m91M3jvXVmatqUWVQ52Ed,0.398,0.654,131880.0,0.516,4.83e-06,0.0,0.101,-9.818,1.0,0.0298,62.295,4.0,0.889,The Extraordinary,https://i.scdn.co/image/a261fffd29f56b4e6fa4fd42c5a79aa96f0561e2,False,25.0,
1959,Johnny Horton,The Battle Of New Orleans,https://open.spotify.com/track/1XRA4Tjb2YrcQU5ThDllCw,1XRA4Tjb2YrcQU5ThDllCw,0.803,0.703,152067.0,0.753,0.0,9.0,0.0997,-11.783,1.0,0.135,177.162,4.0,0.921,Johnny Horton - 16 Biggest Hits,https://i.scdn.co/image/71dad258fab522d63c47716bdcfb954d9fdd3a79,False,50.0,https://p.scdn.co/mp3-preview/d96e37c04389f84979393efdad7cd11e97d9ad6b?cid=bca78196e824433fbdf88ec18d84825f
