Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1963,Nino Tempo and April Stevens,Deep Purple,https://open.spotify.com/track/5kJez8nvgq0HqhWy3UTQFx,5kJez8nvgq0HqhWy3UTQFx,0.881,0.507,160133.0,0.32,2.59e-05,5.0,0.153,-12.472,1.0,0.0305,130.565,3.0,0.575,Deep Purple,https://i.scdn.co/image/92efa92b16e365b88ff0f71fb9669689a5a8a980,False,36.0,https://p.scdn.co/mp3-preview/82358bc5509ffdd62a5deb1482936b584093ddbd?cid=bca78196e824433fbdf88ec18d84825f
1963,The Surfaris,Wipe Out,https://open.spotify.com/track/4anUinKv803lyDD1vaSXhU,4anUinKv803lyDD1vaSXhU,0.38,0.352,157760.0,0.613,0.776,0.0,0.429,-13.642,1.0,0.0398,152.437,4.0,0.52,The Best Of The Surfaris,https://i.scdn.co/image/d873eb38dd12869b90fd66efc85f99e61985083a,False,46.0,
1963,Al Martino,I Love You Because,https://open.spotify.com/track/5ggafYsNyKhTR9bISS3OPj,5ggafYsNyKhTR9bISS3OPj,0.894,0.29,163400.0,0.2,0.000569,8.0,0.221,-12.748,1.0,0.0275,88.654,4.0,0.233,I Love You Because,https://i.scdn.co/image/37d3c15b17979db486428c58fda12dd5c30a2924,False,24.0,
1963,The Rockin' Rebels,Wild Weekend,https://open.spotify.com/track/1aPdVWDcTG2Qn0ziCoHkaG,1aPdVWDcTG2Qn0ziCoHkaG,0.609,0.568,138627.0,0.81,0.554,2.0,0.117,-5.658,1.0,0.0581,124.953,4.0,0.642,Wild Weekend,https://i.scdn.co/image/45014dde5ff486a96bbc696102698313d90a4a5c,False,17.0,https://p.scdn.co/mp3-preview/dffe35800a0f3b76678fc6bdabd091873615a8bc?cid=bca78196e824433fbdf88ec18d84825f
1963,Bobby Darin,You're the Reason I'm Living,,,,,,,,,,,,,,,,,,,,
1963,Four Seasons,Walk Like a Man,https://open.spotify.com/track/4C76SOnBa9eQDwOwe11hPz,4C76SOnBa9eQDwOwe11hPz,0.605,0.681,137933.0,0.64,0.0,3.0,0.0641,-10.364,1.0,0.0346,117.884,4.0,0.966,Big Girls Don't Cry and 12 Other Hits,https://i.scdn.co/image/6ddef0fc836b0778a1d28854c4efa77b07b84d32,False,58.0,https://p.scdn.co/mp3-preview/91c8c5a597426bab6e5530024868e31185e289ff?cid=bca78196e824433fbdf88ec18d84825f
1963,Inez and Charlie Foxx,Mockingbird,https://open.spotify.com/track/0s1e2Pplqp0ExGFUdQ3mCr,0s1e2Pplqp0ExGFUdQ3mCr,0.133,0.867,158040.0,0.467,0.0,6.0,0.107,-7.627,1.0,0.0382,118.075,4.0,0.799,Best Of The Sue Years,https://i.scdn.co/image/1c4bafdc43665a3eb9b13fcc6179d179c1d789e8,False,24.0,
1963,Little Peggy March,I Will Follow Him,https://open.spotify.com/track/3GQETOg4ZXyQ1jEFqfMoac,3GQETOg4ZXyQ1jEFqfMoac,0.722,0.638,148160.0,0.44,0.0,0.0,0.515,-10.892,1.0,0.0348,125.495,4.0,0.904,I Will Follow Him,https://i.scdn.co/image/e8dcc2bee33946aa6134200572c3f8197beafda7,False,49.0,https://p.scdn.co/mp3-preview/e22b2a8945c007c2cfb07454d12a8007aa41d0df?cid=bca78196e824433fbdf88ec18d84825f
1963,The Chantays,Pipeline,https://open.spotify.com/track/3Wwy5wlxd8CpKMZGc4Mgjf,3Wwy5wlxd8CpKMZGc4Mgjf,0.785,0.447,139253.0,0.438,0.868,9.0,0.133,-16.43,0.0,0.0382,152.129,4.0,0.697,Pipeline,https://i.scdn.co/image/e229e94bdabf5ce52a3127febb2966e534712827,False,39.0,
1963,Jan and Dean,Surf City,https://open.spotify.com/track/4ZzXPeOfMXk0iKNQGdlzDq,4ZzXPeOfMXk0iKNQGdlzDq,0.595,0.469,163027.0,0.647,1.65e-06,8.0,0.339,-13.913,1.0,0.0315,147.878,4.0,0.942,Surf City: The Best Of Jan & Dean,https://i.scdn.co/image/b7c37dc42127e1c8d9b66953bbbd708087e09ad2,False,51.0,
1963,Lesley Gore,It's My Party,https://open.spotify.com/track/1Pb2VNagRvuCh3w9Qya3rf,1Pb2VNagRvuCh3w9Qya3rf,0.503,0.431,186667.0,0.316,0.0133,6.0,0.279,-12.866,1.0,0.0275,81.844,4.0,0.297,It's My Party: The Mercury Anthology,https://i.scdn.co/image/3691c6b8850371aa4af5a013871a1f1280d0cd02,False,3.0,
